Release Year,Origin/Ethnicity,Director,Cast
1941,British,Marcel Varnel,"Arthur Askey, Richard Murdoch"
1941,British,Walter Forde,"Gordon Harker, Alastair Sim, Phyllis Calvert"
1941,British,Harold French,"Barbara Mullen, Michael Redgrave"
1941,British,Carol Reed,"Michael Redgrave, Diana Wynyard"
1941,British,John Baxter,"Deborah Kerr, Clifford Evans"
1941,British,Gabriel Pascal,"Wendy Hiller, Rex Harrison"
1941,British,Walter C. Mycroft,"Charles Clapham, John Warwick, Patricia Roc"
1941,British,John Baxter,"Arthur Lucan, Kitty McShane"
1941,British,Thomas Bentley,"Arthur Lucan, Kitty McShane"
1941,British,John Baxter,"Arthur Lucan, Kitty McShane"
1941,British,Herbert Mason,"Gordon Harker, Sydney Howard"
1941,British,Leslie Howard,"Leslie Howard, Mary Morris"
1941,British,Thorold Dickinson,"John Gielgud, Diana Wynyard"
1941,British,Harry Watt,Royal Air Force personnel
1941,British,Lawrence Huntington,"James Mason, Gordon McLeod, Margaret Vyner"
1941,British,Lawrence Huntington,"Wilfrid Lawson, Michael Rennie"
1941,British,Marcel Varnel,"George Formby, Peggy Bryan"
1941,British,Jack Raymond,"Robert Morley, Emlyn Williams"
1942,British,Brian Desmond Hurst,"James Mason, Margaret Lockwood"
1942,British,Herbert Mason,"Arthur Askey, Moore Marriott, Graham Moffatt"
1942,British,Charles Frend,"Leslie Banks, John Mills"
1942,British,Basil Dearden,"Will Hay, John Mills"
1942,British,Oswald Mitchell,"Albert Modley, Jean Colin"
1942,British,J. B. Holmes,"Roger Hunter, Charles Norman Lewis"
1942,British,Harold French,"Hugh Williams, Griffiths Jones"
1942,British,Leslie Howard,"Leslie Howard, David Niven"
1942,British,Walter Forde,"Richard Greene, Carla Lehmann"
1942,British,Charles Frend,"Clifford Evans, Tommy Trinder"
1942,British,Basil Dearden,"Will Hay, Frank Pettingell"
1942,British,David Lean,"Noël Coward, John Mills, Bernard Miles"
1942,British,Leslie S. Hiscott,"Francis L. Sullivan, Jane Carr"
1942,British,Philip Brandon,"Linden Travers, John Warwick"
1942,British,Marcel Varnel,"George Formby, Kathleen Harrison"
1942,British,Thorold Dickinson,"Mervyn Johns, John Chandos"
1942,British,Leslie Arliss,"James Mason, Wilfrid Lawson"
1942,British,"Michael Powell, Emeric Pressburger","Godfrey Tearle, Eric Portman, Googie Withers"
1942,British,Maurice Elvey,"Edward Rigby, Mabel Constanduros, Jimmy Hanley"
1942,British,Harold French,"James Mason, Hugh Williams"
1942,British,John E. Blakeley,"Frank Randle, Dan Young"
1942,British,"Harold French, Paul L. Stein","Hugh Williams, Carla Lehmann"
1942,British,Herbert Wilcox,"Anna Neagle, Robert Newton"
1942,British,John Harlow,"Ann Dvorak, Ben Lyon"
1942,British,Roy Boulting,"Michael Redgrave, Lilli Palmer, James Mason"
1942,British,Anthony Asquith,"Eric Portman, Phyllis Calvert"
1942,British,Harold French,"Richard Greene, Valerie Hobson, Basil Radford"
1942,British,Alberto Cavalcanti,"Leslie Banks, Mervyn Johns, Basil Sydney"
1942,British,Carol Reed,"Robert Donat, Robert Morley"
1943,British,Harold S. Bucquet,"Robert Donat, Valerie Hobson"
1943,British,Basil Dearden,"Tommy Trinder, James Mason, Mervyn Johns"
1943,British,Leslie S. Hiscott,"Francis L. Sullivan, Judy Kelly"
1943,British,John Harlow,"Ben Lyon, Anne Crawford"
1943,British,Harold French,"Margaret Lockwood, Michael Wilding"
1943,British,Anthony Asquith,"Laurence Olivier, Penelope Dudley-Ward"
1943,British,"Lance Comfort, Victor Hanbury","Eric Portman, Ann Dvorak"
1943,British,Jeffrey Dell,"Clive Brook, Jane Baxter"
1943,British,Walter Forde,"Tommy Handley, Greta Gynt"
1943,British,Maurice Elvey,"Rosamund John, Stewart Granger, Godfrey Tearle"
1943,British,"Michael Powell, Emeric Pressburger","Deborah Kerr, Roger Livesey, Anton Walbrook"
1943,British,Leslie Arliss,"Margaret Lockwood, James Mason"
1943,British,"Sidney Gilliat, Frank Launder","Patricia Roc, Gordon Jackson"
1943,British,Val Guest,"Arthur Askey, Evelyn Dall"
1943,British,Basil Dearden,Will Hay
1943,British,Herbert Mason,"David Farrar, Anne Crawford"
1943,British,Harry Watt,"Jack Lambert, Gordon Jackson"
1943,British,Lance Comfort,"Arthur Lucan, Kitty McShane"
1943,British,Oswald Mitchell,"Arthur Lucan, Kitty McShane"
1943,British,Charles Frend,"Arthur Young, Walter Fitzgerald"
1943,British,Humphrey Jennings,No professional actors used
1943,British,"Vernon Sewell, Gordon Wellesley","Ralph Richardson, Googie Withers"
1943,British,Maclean Rogers,"Frank Randle, George Doonan"
1943,British,John E. Blakeley,"Frank Randle, Dan Young"
1943,British,Lance Comfort,"Eric Portman, Ann Dvorak"
1943,British,George King,"John Clements, Godfrey Tearle, Greta Gynt"
1943,British,Sergei Nolbandov,"John Clements, Mary Morris"
1943,British,Philip Brandon,"Ethel Revnell, Gracie West"
1943,British,Maclean Rogers,"Reginald Purdell, Ellis Irving"
1943,British,Anthony Asquith,"John Mills, Eric Portman"
1943,British,Philip Brandon,"Vera Lynn, Patricia Roc"
1943,British,Lawrence Huntington,"Robertson Hare, Alfred Drayton"
1943,British,Herbert Wilcox,"Anna Neagle, Richard Greene"
1944,British,Alfred Hitchcock,
1944,British,Val Guest,"Arthur Askey, Anne Shelton"
1944,British,Marcel Varnel,"George Formby, Anne Firth"
1944,British,Alfred Hitchcock,John Blythe
1944,British,George King,"James Mason, Carla Lehmann"
1944,British,John Harlow,"Eliot Makeham, Beatrix Lehmann"
1944,British,"Michael Powell, Emeric Pressburger","Eric Portman, Sheila Sim, Dennis Price, Sgt. John Sweet"
1944,British,Alberto Cavalcanti,"Tommy Trinder, Stanley Holloway"
1944,British,Jeffrey Dell,"Richard Greene, David Horne"
1944,British,Harold French,"Michael Wilding, Penelope Dudley-Ward, Lilli Palmer"
1944,British,Anthony Asquith,"Phyllis Calvert, James Mason, Stewart Granger"
1944,British,Harry Watt,"Tommy Trinder, Frances Day, James Robertson Justice"
1944,British,Charles Crichton,"David Farrar, Ralph Michael"
1944,British,Val Guest,"Margaret Lockwood, Vic Oliver"
1944,British,Basil Dearden,"Mervyn Johns, Tom Walls"
1944,British,Marcel Varnel,"George Formby, Robertson Hare"
1944,British,Will Fyffe,"Leni Lynn, Leslie Perrins"
1944,British,Laurence Olivier,"Laurence Olivier, Renée Asherson"
1944,British,"Lance Comfort, Mutz Greenbaum, Victor Hanbury","James Mason, Lucie Mannheim"
1944,British,Leslie Arliss,"Margaret Lockwood, Stewart Granger, Patricia Roc"
1944,British,Maurice Elvey,"Godfrey Tearle, Jeanne De Casalis"
1944,British,Anthony Asquith,"James Mason, Phyllis Calvert, Stewart Granger"
1944,British,Harold French,"Felix Aylmer, Greta Gynt"
1944,British,Clive Brook,"Beatrice Lillie, Googie Withers"
1944,British,Walter Forde,"Vera Lynn, Donald Stewart"
1944,British,Maurice Elvey,"William Hartnell, Carol Raye"
1944,British,"Bernard Miles, Charles Saunders","Bernard Miles, Rosamund John, Niall MacGinnis"
1944,British,David Lean,"Robert Newton, Celia Johnson, Stanley Holloway"
1944,British,Frank Launder,"Phyllis Calvert, Flora Robson, Patricia Roc"
1944,British,Carol Reed,"David Niven, Raymond Huntley, William Hartnell"
1945,British,Henry Cass,"Gordon Harker, Betty Balfour"
1945,British,David Lean,"Rex Harrison, Constance Cummings, Kay Hammond"
1945,British,David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway"
1945,British,Gabriel Pascal,"Claude Rains, Vivien Leigh"
1945,British,"Charles Crichton, Basil Dearden","Michael Redgrave, Mervyn Johns"
1945,British,John Harlow,"David Farrar, Dennis Price, Pamela Stirling"
1945,British,Herbert Mason,"Patricia Kirkwood, Hugh Sinclair"
1945,British,Geoffrey Faithfull,"Dinah Sheridan, Jimmy Hanley"
1945,British,John E. Blakeley,"Frank Randle, Nicolette Roeg"
1945,British,Marcel Varnel,"George Formby, Billy Caryll, Hilda Mundy"
1945,British,"Michael Powell, Emeric Pressburger","Wendy Hiller, Roger Livesey, Pamela Brown"
1945,British,Herbert Wilcox,"Anna Neagle, Rex Harrison"
1945,British,Val Guest,"Margaret Lockwood, Vic Oliver"
1945,British,Charles Frend,"Tom Watt, Patricia Roc, Françoise Rosay"
1945,British,John Boulting,"Richard Attenborough, Jack Watling"
1945,British,Paul L. Stein,"Patricia Medina, Jimmy Hanley"
1945,British,Vernon Sewell,"Derrick De Marney, Joan Greenwood"
1945,British,Arthur Crabtree,"Phyllis Calvert, Stewart Granger, Patricia Roc"
1945,British,Mutz Greenbaum,"Anton Walbrook, Margaretta Scott"
1945,British,Montgomery Tully,"William Hartnell, Jimmy Hanley"
1945,British,Oswald Mitchell,"Arthur Lucan, Kitty McShane"
1945,British,Alexander Korda,"Robert Donat, Deborah Kerr"
1945,British,Robert Hamer,"Googie Withers, Gordon Jackson, Mervyn Johns"
1945,British,Sidney Gilliat,"Rex Harrison, Lilli Palmer"
1945,British,Compton Bennett,"James Mason, Ann Todd, Herbert Lom"
1945,British,Maurice Elvey,"William Hartnell, Carol Raye"
1945,British,Arthur Crabtree,"James Mason, Phyllis Calvert, Dulcie Gray"
1945,British,Sidney Gilliat,"John Mills, Stewart Granger"
1945,British,Anthony Asquith,"Michael Redgrave, John Mills"
1945,British,Leslie Arliss,"Margaret Lockwood, James Mason"
1945,British,Vernon Sewell,"David Farrar, Judy Campbell"
1946,British,John Harlow,"William Hartnell, Raymond Lovell"
1946,British,Paul Barrelet,"Mabel Constanduros, Diana Dawson"
1946,British,Lance Comfort,"Margaret Lockwood, Ian Hunter"
1946,British,Maurice Elvey,"Cedric Hardwicke, Lilli Palmer"
1946,British,Basil Dearden,"Michael Redgrave, Rachel Kempson"
1946,British,Arthur Crabtree,"Stewart Granger, Jean Kent"
1946,British,Stanley Haynes,"Sally Gray, Michael Wilding"
1946,British,Victor M. Gover,"Tod Slaughter, Bruce Seton"
1946,British,Marcel Varnel,"George Formby, Rosalyn Boulter"
1946,British,Francis Searle,"Hugh Williams, Joan Greenwood"
1946,British,John Baxter,"James Harcourt, Patric Curwen"
1946,British,David Lean,"John Mills, Jean Simmons, Valerie Hobson, Alec Guinness"
1946,British,Sidney Gilliat,"Trevor Howard, Alastair Sim"
1946,British,Frank Launder,"Deborah Kerr, Trevor Howard"
1946,British,Paul L. Stein,"Anne Ziegler, Webster Booth"
1946,British,Wesley Ruggles,"Sid Field, Petula Clark"
1946,British,"Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Roger Livesey, Raymond Massey"
1946,British,Thorold Dickinson,"Robert Adams, Eric Portman, Orlando Martins"
1946,British,Lawrence Huntington,"Robert Newton, Raymond Lovell"
1946,British,Harry Watt,"Chips Rafferty, John Nugent Hayward"
1946,British,Harold French,"Derek Farr, Frank Cellier"
1946,British,Peter Ustinov,"Ralph Richardson, Raymond Huntley"
1946,British,"Giacomo Gentilomo, William Freshman","Derek Farr, Marta Labarr"
1946,British,John E. Blakeley,"Nat Jackley, Norman Evans"
1946,British,Lawrence Huntington,"Eric Portman, Dulcie Gray"
1946,British,Compton Bennett,"Michael Redgrave, Valerie Hobson"
1947,British,Oswald Mitchell,"Michael Atkinson, Myra O'Connell, Michael Medwin"
1947,British,"Michael Powell, Emeric Pressburger","Deborah Kerr, David Farrar, Kathleen Byron"
1947,British,John Boulting,"Richard Attenborough, Carol Marsh, Hermione Baddeley"
1947,British,David MacDonald,"Patricia Roc, Will Fyffe"
1947,British,Frank Launder,"Stewart Granger, Kathleen Ryan"
1947,British,Herbert Wilcox,"Anna Neagle, Michael Wilding"
1947,British,John Paddy Carstairs,"Richard Attenborough, Barry K. Barnes"
1947,British,Arthur Crabtree,"Eric Portman, Greta Gynt"
1947,British,Lionel Tomlinson,"Don Stannard, Veronica Rose"
1947,British,Roy Boulting,"Michael Redgrave, Rosamund John"
1947,British,Vernon Sewell,"Robert Morley, Felix Aylmer"
1947,British,Charles Crichton,"Alastair Sim, Harry Fowler"
1947,British,Brian Desmond Hurst,"Margaret Lockwood, Dennis Price"
1947,British,Alexander Korda,"Paulette Goddard, Michael Wilding"
1947,British,Robert Hamer,"Googie Withers, Edward Chapman"
1947,British,Bernard Knowles,"Margaret Lockwood, Patricia Roc, Dennis Price"
1947,British,Val Guest,"William Graham, Garry Marsh, Jane Welsh"
1947,British,Alberto Cavalcanti,"Stanley Holloway, Cedric Hardwicke"
1947,British,Charles Frend,"Googie Withers, Jean Kent"
1947,British,Leslie Arliss,"Dulcie Gray, Margaret Johnston, Kieron Moore"
1947,British,Bernard Knowles,"Michael Redgrave, Jean Kent"
1947,British,Brian Desmond Hurst,"Eric Portman, Sally Gray"
1947,British,Walter Forde,"Anne Crawford, Dennis Price"
1947,British,Anthony Kimmins,"Burgess Meredith, Dulcie Gray"
1947,British,Montgomery Tully,"Peter Graves, Joyce Howard"
1947,British,Roy Ward Baker,"John Mills, Joan Greenwood"
1947,British,Carol Reed,"James Mason, Robert Newton, Cyril Cusack"
1947,British,Brock Williams,"Phyllis Calvert, Michael Rennie"
1947,British,Edward Dmytryk,"John Mills, Martha Scott"
1947,British,Ronald Neame,"Hugh Williams, Greta Gynt"
1947,British,Alberto Cavalcanti,"Trevor Howard, Sally Gray"
1947,British,Francis Searle,"Gordon Harker, Alfred Drayton"
1947,British,Maurice J. Wilson,"Wilfrid Lawson, Helena Pickard"
1947,British,Charles Frank,"Jean Simmons, Katina Paxinou"
1947,British,Lawrence Huntington,"James Mason, Rosamund John"
1947,British,Lawrence Huntington,"Patricia Roc, Rosamund John"
1947,British,John Harlow,"Tom Walls, Sonia Dresdel, Carol Raye"
1947,British,Anthony Asquith,"Barbara White, Ronald Squire"
1947,British,Harold French,"Madeleine Carroll, Ian Hunter"
1947,British,Bernard Knowles,"Margaret Lockwood, Joan Greenwood"
1947,British,Jack Lee,"Ursula Jeans, Jean Simmons"
1948,British,Charles Crichton,"Robert Beatty, Simone Signoret, Jack Warner"
1948,British,Julien Duvivier,"Vivien Leigh, Ralph Richardson, Kieron Moore"
1948,British,Marc Allégret,"Valerie Hobson, Stewart Granger"
1948,British,Anthony Kimmins,"David Niven, Jack Hawkins"
1948,British,Thornton Freeland,"Carroll Levis, Carole Landis"
1948,British,Ken Annakin,"Phyllis Calvert, James Donald"
1948,British,Edmond T. Gréville,"Raymond Lovell, Bruce Lester"
1948,British,Arthur Crabtree,"Greta Gynt, John McCallum"
1948,British,Paul L. Stein,"Robert Beatty, Mervyn Johns"
1948,British,John E. Blakeley,"Sandy Powell, Dan Young"
1948,British,Dicky Leeman,"Terry-Thomas, Jeannie Carson"
1948,British,Lance Comfort,"Anne Crawford, Maxwell Reed"
1948,British,Compton Bennett,"Eric Portman, Ann Todd, Maxwell Reed"
1948,British,A. Barr-Smith,"Esme Percy, Ernest Jay, Cecile Chevreau"
1948,British,Alfred J. Goulding,Don Stannard
1948,British,Bernard Knowles,"Petula Clark, Mervyn Johns"
1948,British,Herbert Wilcox,"Anna Neagle, Hugh Williams"
1948,British,John Gilling,"John Le Mesurier, Victoria Hopper"
1948,British,Ian Dalrymple,"Kathleen Ryan, Dirk Bogarde"
1948,British,Carol Reed,"Ralph Richardson, Michèle Morgan, Bobby Henrey"
1948,British,Alberto Cavalcanti,"Jean-Pierre Aumont, Joan Hopkins"
1948,British,David MacDonald,"Jean Kent, Herbert Lom, Dennis Price"
1948,British,Oswald Mitchell,"Tod Slaughter, Henry Oscar"
1948,British,Roy Boulting,"Richard Attenborough, Sheila Sim"
1948,British,Laurence Olivier,"Laurence Olivier, Jean Simmons, Basil Sydney"
1948,British,Ken Annakin,"Jack Warner, Kathleen Harrison"
1948,British,John E. Blakeley,"Frank Randle, Tessie O'Shea"
1948,British,Sidney Gilliat,"Richard Attenborough, Alastair Sim"
1948,British,Harold Huth,"Margaret Lockwood, Griffith Jones"
1948,British,Douglas Peirce,"David Tomlinson, Andrew Crawford"
1948,British,Ken Annakin,"Glynis Johns, Googie Withers"
1948,British,Norman Lee,"Milton Rosmer, Megs Jenkins"
1948,British,Lawrence Huntington,"David Farrar, Marius Goring"
1948,British,Harold French,"Michael Denison, Dulcie Gray"
1948,British,Alfred Roome,"Jack Warner, George Cole"
1948,British,Harold Huth,"Sally Ann Howes, Dermot Walsh"
1948,British,St. John Legh Clowes,"Linden Travers, Jack La Rue"
1948,British,Daniel Birt,"Freda Jackson, Ann Stephens"
1948,British,Edmond T. Gréville,"Carole Landis, Derek Farr"
1948,British,David Lean,"Alec Guinness, Robert Newton, Kay Walsh, John Howard Davies"
1948,British,John Irwin,"Cyril Fletcher, Betty Astell"
1948,British,"Ken Annakin, Arthur Crabtree, Harold French, Ralph Smart","Cecil Parker, Dirk Bogarde, George Cole"
1948,British,"Michael Powell, Emeric Pressburger","Moira Shearer, Anton Walbrook, Marius Goring"
1948,British,Ben R. Hart,"John Blythe, Wally Patch"
1948,British,Basil Dearden,"Joan Greenwood, Stewart Granger"
1948,British,Charles Frend,"John Mills, James Robertson Justice, Barry Letts"
1948,British,John Paddy Carstairs,"Jean Kent, Albert Lieven"
1948,British,David MacDonald,"Dennis Price, Mila Parély, Stanley Holloway"
1948,British,Herbert Wilcox,"Anna Neagle, Michael Wilding"
1948,British,Daniel Birt,"Nancy Price, Mary Clare, Raymond Lovell"
1948,British,Vernon Sewell,"Michael Rennie, Moira Lister"
1948,British,Peter Ustinov,"Roger Livesey, Anthony Newley"
1948,British,Roy Ward Baker,"Ursula Jeans, Cecil Parker"
1948,British,Val Guest,"William Graham, Garry Marsh, Jane Welsh"
1948,British,Anthony Asquith,"Robert Donat, Margaret Leighton, Cedric Hardwicke"
1948,British,Terence Young,"Stewart Granger, Edwige Feuillère, Ronald Squire"
1949,British,Harold French,"Stewart Granger, Jean Simmons"
1949,British,Edward G. Whiting,Chrystabel Leighton-Porter
1949,British,Derek N. Twist,"Norman Wooland, Sarah Churchill"
1949,British,David MacDonald,"Dennis Price, Mai Zetterling"
1949,British,Frank Launder,"Jean Simmons, Donald Houston"
1949,British,Jill Craigie,"Emrys Jones, Gwynneth Vaughan"
1949,British,Ralph Smart,"John McCallum, Honor Blackman"
1949,British,Montgomery Tully,"Jack Warner, Richard Attenborough"
1949,British,Walter Forde,"Sid Field, Margaret Lockwood"
1949,British,David MacDonald,"Fredric March, Florence Eldridge"
1949,British,Thornton Freeland,"Cecil Parker, Glynis Johns"
1949,British,David MacDonald,"David Farrar, Honor Blackman, Diana Dors"
1949,British,Godfrey Grayson,"Valentine Dyall, Peter Drury"
1949,British,Arthur Crabtree,"Petula Clark, Jimmy Hanley"
1949,British,Harry Watt,"Chips Rafferty, Jane Barrett"
1949,British,Frederick Wilson,"Gordon Jackson, Rona Anderson"
1949,British,John Paddy Carstairs,"Sally Ann Howes, Guy Rolfe"
1949,British,Alberto Cavalcanti,"Richard Todd, Patricia Plunkett, Stephen Murray"
1949,British,George King,"Douglass Montgomery, Hazel Court"
1949,British,Edward Dmytryk,"Sam Wanamaker, Lea Padovani"
1949,British,"Edoardo Anton, Henry Cass","Michael Denison, Dulcie Gray"
1949,British,Gordon Parry,"Burgess Meredith, Jean-Pierre Aumont"
1949,British,Ladislao Vajda,"Phyllis Calvert, Tullio Carminati"
1949,British,Ralph Thomas,"Carol Marsh, David Tomlinson"
1949,British,"John Guillermin, Robert Jordan Hill","Ben Wrigley, Barbara Shaw"
1949,British,Anthony Pelissier,"John Mills, Sally Ann Howes"
1949,British,Ken Annakin,"Jack Warner, Kathleen Harrison, Dinah Sheridan, Jimmy Hanley"
1949,British,Daniel Birt,"Valerie Hobson, Richard Todd"
1949,British,Alfred Roome,"Basil Radford, Naunton Wayne"
1949,British,Robert Hamer,"Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness"
1949,British,"Emlyn Williams, Russell Lloyd","Edith Evans, Richard Burton"
1949,British,Muriel Box,"Richard Attenborough, Dennis Price, Mai Zetterling"
1949,British,Charles Bennett,"Margaret Lockwood, Kathleen Byron"
1949,British,Francis Searle,"Betty Ann Davies, Sheila Burrell"
1949,British,Terence Fisher,"Derek Bond, Susan Shaw"
1949,British,John Gilling,"Maureen Riscoe, John Barry"
1949,British,Herbert Wilcox,"Anna Neagle, Michael Wilding"
1949,British,Godfrey Grayson,"Hugh Moxey, Jeanette Tregarthen"
1949,British,Val Guest,"Michael Rennie, Yolande Donlan"
1949,British,Val Guest,"Garry Marsh, Jon Pertwee"
1949,British,Stefan Osiecki,"Terence De Marney, Eleanor Summerfield"
1949,British,Edward Dmytryk,"Robert Newton, Sally Gray"
1949,British,John Harlow,"Arthur Lucan, Kitty McShane, Chili Bouchier"
1949,British,Ralph Thomas,"Googie Withers, Guy Middleton"
1949,British,David Lean,"Ann Todd, Claude Rains, Trevor Howard"
1949,British,Henry Cornelius,"Margaret Rutherford, Stanley Holloway, Hermione Baddeley"
1949,British,Bernard Knowles,"Patricia Roc, Stanley Holloway"
1949,British,Thorold Dickinson,"Anton Walbrook, Edith Evans"
1949,British,Charles Frend,"Donald Houston, Meredith Edwards, Alec Guinness"
1949,British,John E. Blakeley,"Frank Randle, Dan Young"
1949,British,Lance Comfort,"Nigel Patrick, Sally Gray, Stephen Murray"
1949,British,"Michael Powell, Emeric Pressburger","David Farrar, Kathleen Byron, Jack Hawkins"
1949,British,John E. Blakeley,"Frank Randle, Tessie O'Shea"
1949,British,Robert Hamer,"Eric Portman, Guy Rolfe"
1949,British,Michael Barry,"Sally Ann Howes, Gordon Jackson"
1949,British,Gregory Ratoff,"Myrna Loy, Roger Livesey, Peggy Cummins"
1949,British,Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard"
1949,British,Gordon Parry,"Glynis Johns, Dermot Walsh"
1949,British,"Sidney Cole, Charles Crichton, Basil Dearden","Jack Warner, Peter Finch, Valerie Hobson"
1949,British,Brian Desmond Hurst,"Jean Kent, Hugh Sinclair, James Donald"
1949,British,Alfred Hitchcock,"Ingrid Bergman, Joseph Cotten, Michael Wilding"
1949,British,Alexander Mackendrick,"Basil Radford, Bruce Seton, Joan Greenwood, Gordon Jackson"
1950,British,Anthony Bushell,"Eileen Herlie, Basil Sydney, Norman Wooland, Maria Schell"
1950,British,Terence Fisher,"Derek Bond, Susan Shaw"
1950,British,Frank Richardson,"John Bentley, Diana Napier"
1950,British,Ralph Smart,"Tommy Trinder, Chips Rafferty"
1950,British,Robert S. Baker,"Maxwell Reed, Dinah Sheridan"
1950,British,Basil Dearden,"Jack Warner, Jimmy Hanley, Dirk Bogarde"
1950,British,Val Guest,"Michael Rennie, Yolande Donlan, Hy Hazell, Jon Pertwee"
1950,British,Basil Dearden,"Jean Simmons, Herbert Lom"
1950,British,David MacDonald,"Laurence Harvey, Eric Portman, Maria Mauban"
1950,British,Bernard Miles,"Basil Radford, Niall MacGinnis, Bernard Miles"
1950,British,Charles Crichton,"Petula Clark, Natasha Parry, Diana Dors"
1950,British,Harold French,"Dennis Price, Gisèle Préville"
1950,British,Ken Annakin,"Derek Farr, Peter Lorre"
1950,British,John Baxter,"Robin Netscher, Hilary Rennie, Graham Moffatt"
1950,British,"Michael Powell, Emeric Pressburger","David Niven, Margaret Leighton, Cyril Cusack"
1950,British,"Michael Powell, Emeric Pressburger","Jennifer Jones, David Farrar"
1950,British,Roy Kellino,"Elizabeth Sellars, Patrick Holt"
1950,British,Frank Launder,"Alastair Sim, Margaret Rutherford"
1950,British,Mario Soldati,"Jean Kent, Robert Beatty"
1950,British,Roy Ward Baker,"Margaret Lockwood, Marius Goring"
1950,British,Herbert Wilcox,"Michael Wilding, Odile Versois"
1950,British,"Godfrey Grayson, Francis Searle","Hy Hazell, Michael Medwin"
1950,British,Arthur Crabtree,"Hugh McDermott, Lisa Daniely"
1950,British,David Lean,"Stanley Haynes, Nicholas Phipps"
1950,British,Charles Frend,"Stephen Murray, Kay Walsh"
1950,British,Roy Ward Baker,"John Mills, Nigel Patrick"
1950,British,J. Lee Thompson,"Dennis Price, Derek Farr"
1950,British,John Harlow,"Arthur Lucan, Kitty McShane"
1950,British,Lewis Gilbert,"Patricia Kirkwood, Jack Watling"
1950,British,John E. Blakeley,"Norman Evans, Jimmy James"
1950,British,Lance Comfort,"Margaret Johnston, Richard Todd"
1950,British,"John Boulting, Roy Boulting","Barry Jones, André Morell, Hugh Cross"
1950,British,"Terence Fisher, Anthony Darnborough","Dirk Bogarde, Jean Simmons"
1950,British,Maclean Rogers,"Richard Hearne, Garry Marsh"
1950,British,Alfred Hitchcock,"Jane Wyman, Marlene Dietrich, Michael Wilding"
1950,British,Sidney Gilliat,"Douglas Fairbanks Jr., Jack Hawkins"
1950,British,Terence Young,"Edward Underdown, Ralph Clanton"
1950,British,John Paddy Carstairs,"Cecil Parker, Anne Crawford"
1950,British,John Guillermin,"Dermot Walsh, Rona Anderson"
1950,British,"Ken Annakin, Harold French","Jean Simmons, Kathleen Harrison"
1950,British,Jack Raymond,"Albert Modley, Mae Bacon"
1950,British,Anthony Asquith,"Jean Kent, Dirk Bogarde"
1950,British,Ladislao Vajda,"Phyllis Calvert, Edward Underdown, Richard Burton"
1950,British,Jack Lee,"Leo Genn, Anthony Steel, David Tomlinson"
1950,British,Michael Anderson,"Robert Newton, Kathleen Harrison"
1951,British,David MacDonald,"Jack Hawkins, Peter Hammond"
1951,British,Ralph Thomas,"George Coulouris, David Niven, Glynis Johns"
1951,British,Michael McCarthy,"Sydney Tafler, Ronald Howard"
1951,British,Vernon Sewell,"Christine Norden, Robert Ayres"
1951,British,Anthony Asquith,"Michael Redgrave, Jean Kent, Nigel Patrick"
1951,British,Victor Saville,"Walter Pidgeon, Robert Beatty"
1951,British,Zoltan Korda,"Canada Lee, Sidney Poitier"
1951,British,Jeffrey Dell,"Maxwell Reed, Edward Underdown"
1951,British,Robert Henryson,"Terence Alexander, Lesley Osmond, Ingeborg von Kusserow"
1951,British,"Pat Jackson, Harold French, Anthony Pelissier","Nigel Patrick, Kay Walsh"
1951,British,John Guillermin,"Hugh McDermott, Kathleen Byron"
1951,British,Lawrence Huntington,"Michael Denison, Dulcie Gray"
1951,British,Derek N. Twist,"Roger Livesey, Honor Blackman"
1951,British,H. Bruce Humberstone,"Vera Ellen, David Niven"
1951,British,Michael Anderson,"Mai Zetterling, Herbert Lom"
1951,British,Roy Boulting,"Liam Redmond, André Morell"
1951,British,Roy Ward Baker,"Tyrone Power, Ann Blyth, Michael Rennie"
1951,British,Ken Annakin,"Yvonne De Carlo, Peter Ustinov"
1951,British,Joseph M. Newman,"George Raft, Coleen Gray"
1951,British,Herbert Wilcox,"Anna Neagle, Michael Wilding"
1951,British,Maurice Elvey,"David Farrar, Geraldine Fitzgerald"
1951,British,Mario Zampi,"Alastair Sim, George Cole"
1951,British,Charles Crichton,"Alec Guinness, Stanley Holloway, Sid James"
1951,British,"Reginald Beck, Anthony Bushell","Rex Harrison, Lilli Palmer"
1951,British,Maclean Rogers,"Richard Hearne, Petula Clark, Garry Marsh"
1951,British,John Boulting,"Robert Donat, Margaret Johnston"
1951,British,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker"
1951,British,Anthony Kimmins,"John Mills, Phyllis Calvert"
1951,British,Val Guest,"Douglas Fairbanks Jr., Yolande Donlan"
1951,British,George Hoellering,"John Groser, Alexander Gauge"
1951,British,Michael McCarthy,"Sydney Tafler, Barbara Murray"
1951,British,Anthony Pelissier,"David Farrar, Nadia Gray"
1951,British,Henry Koster,"James Stewart, Marlene Dietrich"
1951,British,Paul Rotha,Michael Gough
1951,British,Maclean Rogers,"Arthur Lucan, Kitty McShane"
1951,British,Charles Saunders,"Robertson Hare, Stanley Holloway, Sam Costa"
1951,British,Philip Leacock,"Jane Hylton, Muriel Pavlow"
